Date,AMZN_Ret_1D,BRK-B_Ret_1D,GOOGL_Ret_1D,LLY_Ret_1D,NVDA_Ret_1D,WMT_Ret_1D,XOM_Ret_1D,AMZN_Ret_1W,BRK-B_Ret_1W,GOOGL_Ret_1W,LLY_Ret_1W,NVDA_Ret_1W,WMT_Ret_1W,XOM_Ret_1W,AMZN_Ret_1M,BRK-B_Ret_1M,GOOGL_Ret_1M,LLY_Ret_1M,NVDA_Ret_1M,WMT_Ret_1M,XOM_Ret_1M,AMZN_Ret_3M,BRK-B_Ret_3M,GOOGL_Ret_3M,LLY_Ret_3M,NVDA_Ret_3M,WMT_Ret_3M,XOM_Ret_3M
2025-02-12,-0.01645472556041927,-0.0018619461977296137,-0.009227377531196734,0.009213917511985414,-0.012500099134159393,0.011125214793975102,-0.03008664379136572,-0.030655906970812108,-0.004221814015615943,-0.040349162346870915,0.03655987097834834,0.05054878353726422,0.011223963333417908,-0.014286327097776108,0.04792632811564168,0.06267037709155687,-0.038741378303017604,0.09466064974184785,-0.01568722788858845,0.1319786528714182,-0.008964990504045867,0.0996733630993829,0.01795387941233395,0.030672374950726056,0.05156190960907825,-0.11163683923565981,0.2240900834430113,-0.09833850803392119
2025-02-13,0.006290143220533118,0.018569900248090798,0.013779201164832333,-0.001271553273247794,0.031645416393918824,0.013898281530360324,0.007265898060722531,-0.035422713432174624,0.006852162535743389,-0.028496955815521252,0.001711881952238814,0.051367608455579195,0.021390414136318148,0.006153218550041695,0.057907792654521284,0.06768435779325954,-0.01855959724414724,0.17042331005713618,0.02679098421664472,0.15706580861096975,-0.005676484787698777,0.11375942368930736,0.028093985994405823,0.03328698770946059,0.04908939592253092,-0.06857146159856287,0.2502406201400851,-0.08696234376991663
2025-02-14,-0.007336035409240549,-0.0018730752248249383,-0.0048888499813015684,-0.02997598303739213,0.026313990247600838,-0.009614487820753137,0.0010172195489552838,-0.002051063640505446,0.014490007710410868,-0.0005935216319860048,-0.037099588511362525,0.06939323140701248,0.028571513759051648,0.002921862376969342,0.023863829982593954,0.04597497573289844,-0.0527743699530987,0.13255640903060062,0.019157262830112654,0.13904108400303938,-0.020642539672680815,0.09463399869375233,0.028522995451847555,0.021045502441629393,0.03451846482696386,-0.06359444869926134,0.2268561377016174,-0.08512219856073289
2025-02-18,-0.008877028355405714,0.006734942369507779,-0.007881990527641713,0.015314949887869744,0.003961109823097164,-0.0024990157273282465,0.017553722643210756,-0.027837374582459717,0.02690514821279355,-0.01447946689728763,-0.011742335264896653,0.04364755765660089,0.008355984850551001,0.0013982959816309926,0.027145790514656598,0.043235906465247886,-0.04737956687541767,0.13341797138567113,0.04364755765660089,0.1366922275025062,-0.001750133704771062,0.05861740978606478,0.03144627436182512,0.028514196355745813,0.05948377177576614,-0.04690220879447726,0.2164903664080704,-0.07764635073209714
2025-02-19,-8.819331220011328e-05,0.0019675690216689468,0.008162325260457681,0.011490900531184955,-0.0012194606517265116,0.0021198206471828573,0.00145275411204282,-0.026336096273809617,0.023613558765178677,-0.0002699093954774412,0.004097531316912706,0.04841861763650135,0.01493117159595414,-0.003433161529295181,0.0030539188897511504,0.03380698022001871,-0.054744956278163226,0.19680382607036706,0.011037677093356235,0.1311725116377105,-0.00920046178590328,0.07163802468954095,0.03435958175585241,0.056397715988300456,0.10652464920754823,-0.0512427906492966,0.23393419879563893,-0.07691934319311844
2025-02-20,-0.016546793977871843,-0.004072185677990614,-0.0038322092070489644,0.007000657166277069,0.006320499641016442,-0.06528842009963032,0.01541240965242241,-0.02642723970876526,0.021346907281954763,0.005174036062045362,0.0018954914810311863,0.06840025625100687,-0.061770090378088116,0.04331621825152321,-0.03393871788476721,0.02823480005538581,-0.0681141694265398,0.1781838540013927,-0.005112496602146077,0.044370305070563276,0.013741822389917502,0.10004444110063004,0.024496021611750907,0.07120129067353487,0.1721051067103736,-0.013102734382727577,0.15638427841388847,-0.05287235492092146
2025-02-21,-0.028266344731418536,-0.006351178157166459,-0.02654958033293786,0.0006414517959520971,-0.04053973084052043,-0.024997484262220593,-0.011696320447399877,-0.05986019698059175,-0.003642115414613234,-0.034812426494101434,0.0038145628365067186,-0.006356659814564569,-0.09776302131507142,0.02367533679048872,-0.0784221654677123,0.03958650210019998,-0.09431863406114882,0.16075454226387387,-0.08594578746215065,0.01662549139715419,0.019630274216826615,0.07377295541868967,0.013850016641838492,0.026046219996284536,0.2035007771774544,-0.040747272587065675,0.1297571864876279,-0.07173052092148524
2025-02-24,-0.017868663239768212,0.04110795754439622,-0.002282164314636126,0.00883618032296507,-0.030870938711165197,-0.011711380579890518,0.0052396445815816595,-0.06983551894964435,0.039262739493376,-0.03228412539582293,0.04397873827446186,-0.061721221107494784,-0.09967328167769263,0.02799333680380922,-0.09646585520224438,0.08392237997163332,-0.09460555075454646,0.15173365836007013,-0.11506586280008912,-0.0014924342117194067,0.019203501001092693,0.039587537653845484,0.06304660026384434,0.007497425309860972,0.20992582887441902,-0.11374066156433416,0.0840361666280951,-0.05365188972517787
2025-02-25,0.000423094048469963,0.0028088637269123584,-0.02136682405637158,0.023144931044449146,-0.028016630826993127,0.042916737217106427,-0.01384005365566332,-0.06110739562186851,0.03520980850444411,-0.045437285954904705,0.05202977096088257,-0.09160687619446817,-0.05868182758061846,-0.0037225246138270496,-0.09388972739493462,0.07908202830316102,-0.12382005641096239,0.15016902612467597,-0.11211602663703668,0.030920254130087255,0.018880038597989923,0.04889588885151741,0.06610076496712369,-0.0020396260232141694,0.19902075522950824,-0.13195747482776699,0.12303774111917454,-0.07985778501459395
2025-02-26,0.007283848822975836,-0.011444122157744485,-0.015334663937878745,0.014648568630614145,0.036721145843673364,-0.015252431006344769,-0.002460641786989015,-0.05418522929321168,0.02135315816283878,-0.06768504231225292,0.05531399313793672,-0.05709981013176546,-0.07500005204877358,-0.0076156969781399075,-0.08949958469674757,0.04086790267033624,-0.09947354721192125,0.13415128986912084,0.10859653444193662,-0.012320494502929491,0.0024423945027023386,0.08050207091252459,0.04668899855719344,0.03160492796350223,0.22224638341141567,-0.10486779474738395,0.09076983805905847,-0.09424185139305619
